image_name,decision
20250227_135438_color_png.rf.984e9768eb679052fd79e702413a94c5.jpg,nothing
20250227_135652_color_png.rf.c3e37f97ea7f729ce0c04d4272dbab7d.jpg,SAM3_mask_cleaned
20250227_140407_color_png.rf.c4475270462eea5151c53046692d9239.jpg,SAM3_mask
20250227_140905_color_png.rf.2d12799a85d2760abf8ee447509e62de.jpg,original_mask
20250227_141050_color_png.rf.4682f3a780dcc539b18b35c4c819567f.jpg,original_mask
20250227_141418_color_png.rf.8966749a71e9c8de22a6a8db2c796d46.jpg,original_mask
20250227_141738_color_png.rf.01bf38e6cf5703c762e51dbf3ddefe94.jpg,original_mask
20250227_142113_color_png.rf.00ba0986510dd60ddf6ffdb97f013f8e.jpg,SAM3_mask
20250227_142636_color_png.rf.84cbc7d2274f2b691018b4c87dd700bf.jpg,SAM3_mask
20250227_142923_color_png.rf.ea3673204da2dfe675bad273e1bcdc71.jpg,nothing
20250227_143049_color_png.rf.dbf31dba8d2f5c2c42707960221db84b.jpg,original_mask
20250227_143319_color_png.rf.b584dd9fb2edf7fdf962391eb9b2c493.jpg,SAM3_mask_cleaned
20250227_143331_color_png.rf.1aa2e64c61268a2183df252532286e30.jpg,nothing
20250227_151014_color_png.rf.a49edb9dd4ba09c2001e4a18a927e0bc.jpg,original_mask
20250227_152725_color_png.rf.4b2b96613509b4b1cb044f60a75e9125.jpg,original_mask
20250227_152914_color_png.rf.697db9b7720a51357160f1d014f8ee02.jpg,original_mask
20250227_154005_color_png.rf.839b8dd25c65f5d6dc4fe1f6de795391.jpg,original_mask
20250227_154322_color_png.rf.ccd3b05ae6c63dd872360b5dc6c639e9.jpg,original_mask
20250227_154522_color_png.rf.0801561b55729c3d0783dd8c1ea2296c.jpg,original_mask
20250227_155233_color_png.rf.defd4f7f0c83d87af06d228d2c7506a0.jpg,original_mask
20250227_155737_color_png.rf.7d35d74f52cc95b988001828e59abf79.jpg,original_mask
20250227_155838_color_png.rf.9e369b26c55758aa3b1052b39bdf8f37.jpg,original_mask
20250227_161423_color_png.rf.6c43cf1645b8dd79b9d86eea14db638e.jpg,original_mask
20250227_161957_color_png.rf.e7c61c2f0cf57d48ab01ec38221f14ff.jpg,original_mask
20250227_162352_color_png.rf.0fc5d36f87cc14bac842b48173ee1db9.jpg,original_mask
20250227_162618_color_png.rf.7a53447479d5bc675c08ae6cf15ab6fd.jpg,nothing
20250227_162629_color_png.rf.f1631fe85db3298d1f8c4d168200a8ba.jpg,nothing
20250227_162635_color_png.rf.35edb3870607bc4893cd1901ac747dc2.jpg,original_mask
20250227_162651_color_png.rf.38cc15d468bd90b14eb13e7dceaf3329.jpg,original_mask
20250227_162942_color_png.rf.e8b7d1650ce9a2cc1c8a9c3bfffe6c91.jpg,original_mask
20250227_162958_color_png.rf.20cd8dcb1661e422467bec532df36b9a.jpg,original_mask
20250227_163015_color_png.rf.02b832fde0e06b1db8fd159df77075e7.jpg,original_mask
20250227_163022_color_png.rf.0bbc82719fb402520bf6b08d2b80deef.jpg,original_mask
20250227_163135_color_png.rf.58282e843004c68c4e6eaa9bc0ee0879.jpg,original_mask
20250227_163300_color_png.rf.99da81e32db3804d2e744a07798cbf82.jpg,original_mask
20250227_163440_color_png.rf.f2bff504c24b4845ddce5ffcb5f5d8df.jpg,original_mask
20250227_163601_color_png.rf.287a41b60842f623fc3d0ed55699672a.jpg,original_mask
20250227_165206_color_png.rf.0abbb61e7c8a0b6b92261d17a8025e20.jpg,nothing
20250227_165450_color_png.rf.8593bce5f7926c7cde98301ba16a962e.jpg,nothing
20250227_165536_color_png.rf.2bec0db4ce47c43e0a02bfafca219570.jpg,original_mask
20250227_165705_color_png.rf.c96056d40ffd13c840be762eec305824.jpg,original_mask
20250227_165810_color_png.rf.b698c41b2723dab1729167a5931a6180.jpg,original_mask
20250227_165925_color_png.rf.6d68980a0fca4e1b30f5414524fac713.jpg,original_mask
20250227_170024_color_png.rf.b79debb9d70985890e6664c276da74cf.jpg,original_mask
20250227_170115_color_png.rf.a74f202be6fd0cd26c60153482dbad1c.jpg,original_mask
20250227_170125_color_png.rf.44dd68f47138b15798175a525c002590.jpg,original_mask
20250227_170321_color_png.rf.365e37a2d97b0393f6044f3be66d3c63.jpg,original_mask
20250227_170327_color_png.rf.69104ba8a08e8acff5209f6c0ab8bdbe.jpg,original_mask
20250227_170425_color_png.rf.2321a3b2806f2e2a94bdc66c949d0fbb.jpg,original_mask
20250227_170438_color_png.rf.5a352e65f6bae7e6f057fa3589947ae2.jpg,original_mask
20250227_170442_color_png.rf.11594b7f0c725b079ff0dcd4f834e032.jpg,original_mask
20250227_170443_color_png.rf.641a68a778faab7ee51ef7fe831c1e16.jpg,original_mask
20250227_170538_color_png.rf.04043f7a2e8ecb5ffbc04ec177b192c1.jpg,original_mask
20250227_170604_color_png.rf.088b118885aa0cf3142d96a15c9be07b.jpg,nothing
20250227_170611_color_png.rf.129f4d8ea44afec5aa36d9a606cb4b6a.jpg,nothing
20250227_170622_color_png.rf.efbff4a44539b7a1acf7d6eef78d4c26.jpg,original_mask
20250227_170624_color_png.rf.3dda5fa6399f87744dfeb00eb3644308.jpg,original_mask
20250227_170647_color_png.rf.efee9ab57ebc131f200cf67772c7c1d1.jpg,original_mask
20250227_170710_color_png.rf.417d93cba2762711df62c70809d1dbfb.jpg,nothing
20250227_170729_color_png.rf.7501f43a0b52a4e0db85029d4aebacde.jpg,original_mask
20250227_170736_color_png.rf.f4193ab0b59d5f7c9c206ae2316316aa.jpg,original_mask
20250227_170828_color_png.rf.e53ba1781873fbae3a0eedb0314753b6.jpg,original_mask
20250227_170837_color_png.rf.443fc1dcbd2dece80cf7445081b404fb.jpg,original_mask
20250227_170852_color_png.rf.6f65a1dcbcf4dc48f1ecd5a22a92ef23.jpg,SAM3_mask_cleaned
20250227_170934_color_png.rf.32b1950e95f4d67f33feaac3a09d9a82.jpg,SAM3_mask_cleaned
20250227_170940_color_png.rf.3fedae2dbf2ed379cd1e6574b4bf84b7.jpg,SAM3_mask
20250227_170945_color_png.rf.7d74c4d5285cee23f05e99a771a40f31.jpg,nothing
20250227_171010_color_png.rf.ab09c4a9990ad0ee13ee03eab371512b.jpg,SAM3_mask_cleaned
20250227_171023_color_png.rf.c6fbd30f78aa13b6d1dd42d60140fd78.jpg,SAM3_mask
20250227_171035_color_png.rf.53b103f9cf2d995139766f8f2734a674.jpg,SAM3_mask
20250227_171044_color_png.rf.cf3e6bcbc0cda1f81281be1dde261d71.jpg,nothing
20250227_171126_color_png.rf.9b618d5aacb04d2cfbcdf3cdd78e52fd.jpg,original_mask
20250227_171154_color_png.rf.77b82e1bf4b7645a9ca1e5ab117100c2.jpg,original_mask
20250227_171314_color_png.rf.da7873fb34b89f528df36f22d8742ec6.jpg,nothing
20250227_171430_color_png.rf.f63f1ebf47d90370e74fe0e58d741305.jpg,nothing
20250227_171441_color_png.rf.7cdf66076ca2255fdd993771517d5474.jpg,nothing
20250227_171506_color_png.rf.db9374f2431956581a4ec30a3ee1b5af.jpg,original_mask
20250227_171513_color_png.rf.f356a0e7ff45d6e02402566abb3c7a45.jpg,original_mask
20250227_171518_color_png.rf.1d5c7592a06c795b0f10d00f504fdf20.jpg,original_mask
20250227_171539_color_png.rf.1328a928f3f501a8d4b70c100d8ee268.jpg,original_mask
20250227_171548_color_png.rf.a9032047e9fc4c0a547cb36bfff97834.jpg,original_mask
